GZD,100kmSQ_ID,MGRS,EASTING,NORTHING
34U,CG,34UCG,300000,6100000
34U,DG,34UDG,400000,6100000
34U,EG,34UEG,500000,6100000
34U,FG,34UFG,600000,6100000
34U,CF,34UCF,300000,6000000
34U,DF,34UDF,400000,6000000
34U,EF,34UEF,500000,6000000
34U,FF,34UFF,600000,6000000
34U,BE,34UBE,200000,5900000
34U,CE,34UCE,300000,5900000
34U,DE,34UDE,400000,5900000
34U,EE,34UEE,500000,5900000
34U,FE,34UFE,600000,5900000
34U,GE,34UGE,700000,5900000
34U,BD,34UBD,200000,5800000
34U,CD,34UCD,300000,5800000
34U,DD,34UDD,400000,5800000
34U,ED,34UED,500000,5800000
34U,FD,34UFD,600000,5800000
34U,GD,34UGD,700000,5800000
34U,BC,34UBC,200000,5700000
34U,CC,34UCC,300000,5700000
34U,DC,34UDC,400000,5700000
34U,EC,34UEC,500000,5700000
34U,FC,34UFC,600000,5700000
34U,GC,34UGC,700000,5700000
34U,BB,34UBB,200000,5600000
34U,CB,34UCB,300000,5600000
34U,DB,34UDB,400000,5600000
34U,EB,34UEB,500000,5600000
34U,FB,34UFB,600000,5600000
34U,GB,34UGB,700000,5600000
34U,BA,34UBA,200000,5500000
34U,CA,34UCA,300000,5500000
34U,DA,34UDA,400000,5500000
34U,EA,34UEA,500000,5500000
34U,FA,34UFA,600000,5500000
34U,GA,34UGA,700000,5500000
34U,BV,34UBV,200000,5400000
34U,CV,34UCV,300000,5400000
34U,DV,34UDV,400000,5400000
34U,EV,34UEV,500000,5400000
34U,FV,34UFV,600000,5400000
34U,GV,34UGV,700000,5400000
34T,BT,34TBT,200000,5200000
34T,CT,34TCT,300000,5200000
34T,DT,34TDT,400000,5200000
34T,ET,34TET,500000,5200000
34T,FT,34TFT,600000,5200000
34T,GT,34TGT,700000,5200000
34T,BS,34TBS,200000,5100000
34T,CS,34TCS,300000,5100000
34T,DS,34TDS,400000,5100000
34T,ES,34TES,500000,5100000
34T,FS,34TFS,600000,5100000
34T,GS,34TGS,700000,5100000
34T,BR,34TBR,200000,5000000
34T,CR,34TCR,300000,5000000
34T,DR,34TDR,400000,5000000
34T,ER,34TER,500000,5000000
34T,FR,34TFR,600000,5000000
34T,GR,34TGR,700000,5000000
34T,BQ,34TBQ,200000,4900000
34T,CQ,34TCQ,300000,4900000
34T,DQ,34TDQ,400000,4900000
34T,EQ,34TEQ,500000,4900000
34T,FQ,34TFQ,600000,4900000
34T,GQ,34TGQ,700000,4900000
34T,BP,34TBP,200000,4800000
34T,CP,34TCP,300000,4800000
34T,DP,34TDP,400000,4800000
34T,EP,34TEP,500000,4800000
34T,FP,34TFP,600000,4800000
34T,GP,34TGP,700000,4800000
34T,BN,34TBN,200000,4700000
34T,CN,34TCN,300000,4700000
34T,DN,34TDN,400000,4700000
34T,EN,34TEN,500000,4700000
34T,FN,34TFN,600000,4700000
34T,GN,34TGN,700000,4700000
34T,BM,34TBM,200000,4600000
34T,CM,34TCM,300000,4600000
34T,DM,34TDM,400000,4600000
34T,EM,34TEM,500000,4600000
34T,FM,34TFM,600000,4600000
34T,GM,34TGM,700000,4600000
34T,BL,34TBL,200000,4500000
34T,CL,34TCL,300000,4500000
34T,DL,34TDL,400000,4500000
34T,EL,34TEL,500000,4500000
34T,FL,34TFL,600000,4500000
34T,GL,34TGL,700000,4500000
34S,BJ,34SBJ,200000,4300000
34S,CJ,34SCJ,300000,4300000
34S,DJ,34SDJ,400000,4300000
34S,EJ,34SEJ,500000,4300000
34S,FJ,34SFJ,600000,4300000
34S,GJ,34SGJ,700000,4300000
34S,BH,34SBH,200000,4200000
34S,CH,34SCH,300000,4200000
34S,DH,34SDH,400000,4200000
34S,EH,34SEH,500000,4200000
34S,FH,34SFH,600000,4200000
34S,GH,34SGH,700000,4200000
34S,BG,34SBG,200000,4100000
34S,CG,34SCG,300000,4100000
34S,DG,34SDG,400000,4100000
34S,EG,34SEG,500000,4100000
34S,FG,34SFG,600000,4100000
34S,GG,34SGG,700000,4100000
34S,BF,34SBF,200000,4000000
34S,CF,34SCF,300000,4000000
34S,DF,34SDF,400000,4000000
34S,EF,34SEF,500000,4000000
34S,FF,34SFF,600000,4000000
34S,GF,34SGF,700000,4000000
34S,BE,34SBE,200000,3900000
34S,CE,34SCE,300000,3900000
34S,DE,34SDE,400000,3900000
34S,EE,34SEE,500000,3900000
34S,FE,34SFE,600000,3900000
34S,GE,34SGE,700000,3900000
34S,BD,34SBD,200000,3800000
34S,CD,34SCD,300000,3800000
34S,DD,34SDD,400000,3800000
34S,ED,34SED,500000,3800000
34S,FD,34SFD,600000,3800000
34S,GD,34SGD,700000,3800000
34S,BC,34SBC,200000,3700000
34S,CC,34SCC,300000,3700000
34S,DC,34SDC,400000,3700000
34S,EC,34SEC,500000,3700000
34S,FC,34SFC,600000,3700000
34S,GC,34SGC,700000,3700000
34S,BB,34SBB,200000,3600000
34S,CB,34SCB,300000,3600000
34S,DB,34SDB,400000,3600000
34S,EB,34SEB,500000,3600000
34S,FB,34SFB,600000,3600000
34S,GB,34SGB,700000,3600000
34S,BA,34SBA,200000,3500000
34S,CA,34SCA,300000,3500000
34S,DA,34SDA,400000,3500000
34S,EA,34SEA,500000,3500000
34S,FA,34SFA,600000,3500000
34S,GA,34SGA,700000,3500000
34W,CE,34WCE,300000,7900000
34W,DE,34WDE,400000,7900000
34W,EE,34WEE,500000,7900000
34W,FE,34WFE,600000,7900000
34W,CD,34WCD,300000,7800000
34W,DD,34WDD,400000,7800000
34W,ED,34WED,500000,7800000
34W,FD,34WFD,600000,7800000
34W,CC,34WCC,300000,7700000
34W,DC,34WDC,400000,7700000
34W,EC,34WEC,500000,7700000
34W,FC,34WFC,600000,7700000
34W,CB,34WCB,300000,7600000
34W,DB,34WDB,400000,7600000
34W,EB,34WEB,500000,7600000
34W,FB,34WFB,600000,7600000
34W,CA,34WCA,300000,7500000
34W,DA,34WDA,400000,7500000
34W,EA,34WEA,500000,7500000
34W,FA,34WFA,600000,7500000
34W,CV,34WCV,300000,7400000
34W,DV,34WDV,400000,7400000
34W,EV,34WEV,500000,7400000
34W,FV,34WFV,600000,7400000
34W,CU,34WCU,300000,7300000
34W,DU,34WDU,400000,7300000
34W,EU,34WEU,500000,7300000
34W,FU,34WFU,600000,7300000
34W,CT,34WCT,300000,7200000
34W,DT,34WDT,400000,7200000
34W,ET,34WET,500000,7200000
34W,FT,34WFT,600000,7200000
34W,DS,34WDS,400000,7100000
34W,ES,34WES,500000,7100000
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
34U,CH,34UCH,300000,6200000
34U,DH,34UDH,400000,6200000
34U,EH,34UEH,500000,6200000
,,,,
,,,,
,,,,
,,,,
34U,EU,34UEU,500000,5300000
34U,FU,34UFU,600000,5300000
34U,GU,34UGU,700000,5300000
